书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者,出版社
https://book.douban.com/subject/6718031/,https://img9.doubanio.com/view/subject/s/public/s6710016.jpg,过顶擒龙, ,8.1,63人,王宁 / 机械工业出版社华章公司 / 2011-8-1 / 39.00元,本书是超级畅销书《猎杀黑马》的姊妹篇。《猎杀黑马》一书上市以来反响强烈，广获好评，销量一直稳居国内证券投资类图书排行榜前列。应广大读者和“王粉”要求，王者撰... ,王宁,机械工业出版社
https://book.douban.com/subject/3036636/,https://img3.doubanio.com/view/subject/s/public/s5889240.jpg,胡立阳股票投资100招, ,7.4,237人,胡立阳 / 经济日报出版社 / 2008年 / 45.00元,《胡立阳股票投资100招》讲述了：他曾经在口袋只剩27美元的时候，进入美国证券界，才短短三年时间便成为华尔街叱咤风云的人物。他曾经在台湾股市发展初期，教育投... ,胡立阳,经济日报出版社
https://book.douban.com/subject/1136549/,https://img9.doubanio.com/view/subject/s/public/s1105116.jpg,庄家克星,职业操盘手解析坐庄全过程,5.8,26人,邵道明 / 经济管理出版社 / 2003-1 / 29.00元,《庄家克星:职业操盘手解析坐庄全过程》客观再现了大陆股市十年多的运行规律，是反映股市中庄家坐庄全貌的生动范本。《庄家克星:职业操盘手解析坐庄全过程》辨析股海... ,邵道明,经济管理出版社
https://book.douban.com/subject/34764256/,https://img9.doubanio.com/view/subject/s/public/s33855086.jpg,这就是会计,资本市场的会计逻辑,8.7,95人,饶钢、金源 / 法律出版社 / 2019-6 / 99.00元,会计信息是按照会计准则或会计制度，反映企业经济活动状况的信息。会计作为一种经济管理活动，其成效一方面取决于会计信息本身是否能够客观、及时、准确地反映经济活动... ,饶钢&金源,法律出版社
https://book.douban.com/subject/27174369/,https://img2.doubanio.com/view/subject/s/public/s29582542.jpg,高胜算股价形态图解手册, ,,10人,托马斯·波考斯基 / 张慧生 / 广东人民出版社 / 2017-9 / 59.80元,暂无,托马斯·波考斯基,广东人民出版社
https://book.douban.com/subject/34952676/,https://img2.doubanio.com/view/subject/s/public/s33687481.jpg,苏世民,我的经验与教训,8.2,5373人,[美] 苏世民 / 赵灿 / 中信出版社 / 2020-1 / 98.00元,暂无,苏世民,中信出版社
https://book.douban.com/subject/1013223/,https://img2.doubanio.com/view/subject/s/public/s9142902.jpg,客户的游艇在哪里, ,7.5,313人,小弗雷德 / 吴全昊 / 海南出版社 / 1999-12 / 19.80,本书的作者小弗雷德·族维德是一位职业交易商，在1929年的大崩溃中损失惨重，但是他又凭借自己的经营头脑摆脱了困境。本书对华尔街及其市民的生动刻划在今天和在1... ,小弗雷德,海南出版社
https://book.douban.com/subject/31262190/,https://img1.doubanio.com/view/subject/s/public/s32306659.jpg,比小说更好看的理财故事书,巴比伦富翁的秘密,7.4,27人,[美] 乔治·克拉森 / 翁语婕 / 立信会计出版社 / 28.00元,暂无,乔治·克拉森,立信会计出版社
https://book.douban.com/subject/11601391/,https://img1.doubanio.com/view/subject/s/public/s11277897.jpg,盘口, ,6.3,173人,徐小明 / 2012-8 / 35.00元,《盘口》是一本为数不多的研究交易细节的书，全书虽只有两章内容，但它却涵盖了短线交易的最为核心的技术与思想。在第一章中主要介绍了大盘1分钟高低点判定方法，大盘... ,徐小明, 
https://book.douban.com/subject/6827504/,https://img9.doubanio.com/view/subject/s/public/s8845635.jpg,挚爱成就梦想, ,,10人,威廉·D.江恩 / 田继鸣、李霁 / 清华大学出版社 / 2011-9 / 36.00元,《挚爱成就梦想(批注版)》主要内容简介：江恩曾经准确预测20世纪30年代股市大崩溃的开始日期——1929年9月3日！此后，道琼斯工业平均指数一路下跌，跌幅最... ,威廉·D.江恩,清华大学出版社
https://book.douban.com/subject/26910195/,https://img9.doubanio.com/view/subject/s/public/s29138285.jpg,筹码分布揭密主力操盘手法, ,,10人,淘金客 / 人民邮电出版社 / 2016-10 / 49.80元,《筹码分布揭密主力操盘手法》共8章。第1章介绍了与筹码相关的基础知识、典型的主力操盘手法以及针对操盘过程介绍筹码的转变特点；第2章和第3章分别介绍了主力操盘... ,淘金客,人民邮电出版社
https://book.douban.com/subject/35304949/,https://img3.doubanio.com/f/shire/5522dd1f5b742d1e1394a17f44d590646b63871d/pics/book-default-lpic.gif,企业融资Ⅲ：从股权估值到上市后管理（新时代·管理新思维）, ,暂无,目前无人,,本书介绍了与融资和上市相关的内容，例如，融资时机、公司估值、融资流程与规范、商业计划书撰写、尽职调查、上市方式与流程、内幕交易防范等。为了增强内容的全面性和... ,, 
